Well Position,TimePoint,FieldNumber,Green Probe Detect,Red Probe Detect,Far Red Probe Detect,NucleusID,probe set,Number of Unique Labels
 C09,1,6,X,Y,,31,25-18-n,1
 C09,1,6,X,Y,,32,25-18-n,2
 C09,1,6,X,Y,,33,25-18-n,3
 C09,1,6,X,Y,,34,25-18-n,2
 C09,1,6,X,Y,,35,25-18-n,2
 C09,1,6,X,Y,,36,25-18-n,2
 C09,1,6,X,Y,,37,25-18-n,1
 C09,1,6,X,Y,,38,25-18-n,2
 C09,1,6,X,Y,,39,25-18-n,1
 C09,1,6,X,Y,,40,25-18-n,1
 C09,1,6,X,Y,,41,25-18-n,1
 C09,1,6,X,Y,,42,25-18-n,1
 C09,1,6,X,Y,,43,25-18-n,2
 C09,1,6,X,Y,,44,25-18-n,2
 C09,1,6,X,Y,,45,25-18-n,3
 C09,1,6,X,Y,,46,25-18-n,2
 C09,1,6,X,Y,,47,25-18-n,4
 C09,1,6,X,Y,,48,25-18-n,2
 C09,1,6,X,Y,,49,25-18-n,2
 C09,1,6,X,Y,,50,25-18-n,1
 C09,1,6,X,Y,,51,25-18-n,2
 C09,1,6,X,Y,,52,25-18-n,3
 C09,1,6,X,Y,,53,25-18-n,2
 C09,1,6,X,Y,,54,25-18-n,1
 C09,1,6,X,Y,,55,25-18-n,2
 C09,1,6,X,Y,,56,25-18-n,1
 C09,1,6,X,Y,,57,25-18-n,2
 C09,1,6,X,Y,,58,25-18-n,2
 C09,1,6,X,Y,,59,25-18-n,1
 C09,1,6,X,Y,,60,25-18-n,1
 C09,1,6,X,Y,,61,25-18-n,1
 C09,1,6,X,Y,,62,25-18-n,2
 C09,1,6,X,Y,,63,25-18-n,2
 C09,1,6,X,Y,,64,25-18-n,2
 C09,1,6,X,Y,,65,25-18-n,1
 C09,1,6,X,Y,,66,25-18-n,2
 C09,1,6,X,Y,,67,25-18-n,2
 C09,1,6,X,Y,,68,25-18-n,2
 C09,1,6,X,Y,,70,25-18-n,2
 C09,1,6,X,Y,,71,25-18-n,1
 C09,1,6,X,Y,,72,25-18-n,2
 C09,1,6,X,Y,,73,25-18-n,2
 C09,1,6,X,Y,,74,25-18-n,2
 C09,1,6,X,Y,,75,25-18-n,1
 C09,1,6,X,Y,,76,25-18-n,2
 C09,1,6,X,Y,,77,25-18-n,2
 C09,1,6,X,Y,,78,25-18-n,2
 C09,1,6,X,Y,,79,25-18-n,2
 C09,1,6,X,Y,,80,25-18-n,2
 C09,1,6,X,Y,,81,25-18-n,2
 C09,1,6,X,Y,,82,25-18-n,1
 C09,1,6,X,Y,,83,25-18-n,2
 C09,1,6,X,Y,,84,25-18-n,2
 C09,1,6,X,Y,,85,25-18-n,2
 C09,1,6,X,Y,,86,25-18-n,4
 C09,1,6,X,Y,,87,25-18-n,1
 C09,1,6,X,Y,,88,25-18-n,1
 C09,1,6,X,Y,,89,25-18-n,2
 C09,1,6,X,Y,,90,25-18-n,1
 C09,1,6,X,Y,,91,25-18-n,2
 C09,1,6,X,Y,,92,25-18-n,5
 C09,1,6,X,Y,,93,25-18-n,2
 C09,1,6,X,Y,,94,25-18-n,2
 C09,1,6,X,Y,,95,25-18-n,2
 C09,1,6,X,Y,,96,25-18-n,2
 C09,1,6,X,Y,,97,25-18-n,2
 C09,1,6,X,Y,,98,25-18-n,2
 C09,1,6,X,Y,,99,25-18-n,4
 C09,1,6,X,Y,,100,25-18-n,2
 C09,1,6,X,Y,,101,25-18-n,2
 C09,1,6,X,Y,,102,25-18-n,2
 C09,1,6,X,Y,,103,25-18-n,2
 C09,1,6,X,Y,,104,25-18-n,2
 C09,1,6,X,Y,,105,25-18-n,2
 C09,1,6,X,Y,,106,25-18-n,2
 C09,1,6,X,Y,,107,25-18-n,2
 C09,1,6,X,Y,,108,25-18-n,1
 C09,1,6,X,Y,,109,25-18-n,2
 C09,1,6,X,Y,,110,25-18-n,2
 C09,1,6,X,Y,,111,25-18-n,2
 C09,1,6,X,Y,,112,25-18-n,2
 C09,1,6,X,Y,,113,25-18-n,2
 C09,1,6,X,Y,,114,25-18-n,2
 C09,1,6,X,Y,,115,25-18-n,2
 C09,1,6,X,Y,,116,25-18-n,2
 C09,1,6,X,Y,,117,25-18-n,2
 C09,1,6,X,Y,,118,25-18-n,1
 C09,1,6,X,Y,,119,25-18-n,1
 C09,1,6,X,Y,,120,25-18-n,1
 C09,1,6,X,Y,,121,25-18-n,2
 C10,1,1,X,Y,,1,25-18-n,2
 C10,1,1,X,Y,,2,25-18-n,2
 C10,1,1,X,Y,,3,25-18-n,2
 C10,1,1,X,Y,,4,25-18-n,2
 C10,1,1,X,Y,,5,25-18-n,1
 C10,1,1,X,Y,,6,25-18-n,2
 C10,1,1,X,Y,,7,25-18-n,2
 C10,1,1,X,Y,,8,25-18-n,1
 C10,1,1,X,Y,,9,25-18-n,1
 C10,1,1,X,Y,,10,25-18-n,2
 C10,1,1,X,Y,,11,25-18-n,1
 C10,1,1,X,Y,,12,25-18-n,2
 C10,1,1,X,Y,,13,25-18-n,2
 C10,1,1,X,Y,,14,25-18-n,1
 C10,1,1,X,Y,,15,25-18-n,1
 C10,1,1,X,Y,,17,25-18-n,2
 C10,1,1,X,Y,,18,25-18-n,1
 C10,1,1,X,Y,,19,25-18-n,2
 C10,1,1,X,Y,,20,25-18-n,1
 C10,1,1,X,Y,,21,25-18-n,1
 C10,1,1,X,Y,,22,25-18-n,1
 C10,1,1,X,Y,,23,25-18-n,1
 C10,1,1,X,Y,,24,25-18-n,1
 C10,1,1,X,Y,,25,25-18-n,2
 C10,1,1,X,Y,,26,25-18-n,1
 C10,1,1,X,Y,,27,25-18-n,1
 C10,1,1,X,Y,,28,25-18-n,2
 C10,1,1,X,Y,,29,25-18-n,1
 C10,1,1,X,Y,,30,25-18-n,2
 C10,1,1,X,Y,,31,25-18-n,2
 C10,1,1,X,Y,,32,25-18-n,1
 C10,1,1,X,Y,,33,25-18-n,2
 C10,1,1,X,Y,,34,25-18-n,1
 C10,1,1,X,Y,,35,25-18-n,2
 C10,1,1,X,Y,,36,25-18-n,2
 C10,1,1,X,Y,,37,25-18-n,2
 C10,1,1,X,Y,,38,25-18-n,2
 C10,1,1,X,Y,,40,25-18-n,2
 C10,1,1,X,Y,,41,25-18-n,2
 C10,1,1,X,Y,,42,25-18-n,2
 C10,1,1,X,Y,,43,25-18-n,2
 C10,1,1,X,Y,,44,25-18-n,2
 C10,1,1,X,Y,,45,25-18-n,1
 C10,1,1,X,Y,,46,25-18-n,2
 C10,1,1,X,Y,,47,25-18-n,2
 C10,1,1,X,Y,,48,25-18-n,1
 C10,1,1,X,Y,,49,25-18-n,2
 C10,1,1,X,Y,,50,25-18-n,2
 C10,1,1,X,Y,,51,25-18-n,2
 C10,1,1,X,Y,,52,25-18-n,2
 C10,1,1,X,Y,,54,25-18-n,1
 C10,1,1,X,Y,,55,25-18-n,2
 C10,1,1,X,Y,,56,25-18-n,2
 C10,1,1,X,Y,,57,25-18-n,2
 C10,1,1,X,Y,,58,25-18-n,2
 C10,1,1,X,Y,,59,25-18-n,2
 C10,1,1,X,Y,,60,25-18-n,2
 C10,1,1,X,Y,,61,25-18-n,2
 C10,1,1,X,Y,,62,25-18-n,3
 C10,1,1,X,Y,,63,25-18-n,2
 C10,1,1,X,Y,,64,25-18-n,1
 C10,1,1,X,Y,,65,25-18-n,1
 C10,1,1,X,Y,,67,25-18-n,2
 C10,1,1,X,Y,,68,25-18-n,1
 C10,1,1,X,Y,,69,25-18-n,2
 C10,1,1,X,Y,,70,25-18-n,2
 C10,1,1,X,Y,,71,25-18-n,2
 C10,1,1,X,Y,,72,25-18-n,2
 C10,1,1,X,Y,,74,25-18-n,1
 C10,1,1,X,Y,,75,25-18-n,1
 C10,1,1,X,Y,,76,25-18-n,3
 C10,1,1,X,Y,,77,25-18-n,1
 C10,1,1,X,Y,,78,25-18-n,1
 C10,1,1,X,Y,,79,25-18-n,2
 C10,1,1,X,Y,,80,25-18-n,2
 C10,1,1,X,Y,,81,25-18-n,1
 C10,1,2,X,Y,,1,25-18-n,2
 C10,1,2,X,Y,,2,25-18-n,2
 C10,1,2,X,Y,,3,25-18-n,2
 C10,1,2,X,Y,,4,25-18-n,2
 C10,1,2,X,Y,,5,25-18-n,1
 C10,1,2,X,Y,,6,25-18-n,2
 C10,1,2,X,Y,,7,25-18-n,1
 C10,1,2,X,Y,,8,25-18-n,2
 C10,1,2,X,Y,,9,25-18-n,2
 C10,1,2,X,Y,,10,25-18-n,1
 C10,1,2,X,Y,,11,25-18-n,2
 C10,1,2,X,Y,,12,25-18-n,1
 C10,1,2,X,Y,,13,25-18-n,2
 C10,1,2,X,Y,,14,25-18-n,2
 C10,1,2,X,Y,,15,25-18-n,2
 C10,1,2,X,Y,,16,25-18-n,2
 C10,1,2,X,Y,,17,25-18-n,1
 C10,1,2,X,Y,,18,25-18-n,2
 C10,1,2,X,Y,,19,25-18-n,2
 C10,1,2,X,Y,,20,25-18-n,1
 C10,1,2,X,Y,,21,25-18-n,2
 C10,1,2,X,Y,,22,25-18-n,1
 C10,1,2,X,Y,,23,25-18-n,2
 C10,1,2,X,Y,,24,25-18-n,2
 C10,1,2,X,Y,,25,25-18-n,2
 C10,1,2,X,Y,,26,25-18-n,2
 C10,1,2,X,Y,,27,25-18-n,1
 C10,1,2,X,Y,,28,25-18-n,2
 C10,1,2,X,Y,,29,25-18-n,1
 C10,1,2,X,Y,,30,25-18-n,1
 C10,1,2,X,Y,,31,25-18-n,2
 C10,1,2,X,Y,,32,25-18-n,1
 C10,1,2,X,Y,,33,25-18-n,2
 C10,1,2,X,Y,,34,25-18-n,2
 C10,1,2,X,Y,,35,25-18-n,1
 C10,1,2,X,Y,,36,25-18-n,2
 C10,1,2,X,Y,,37,25-18-n,1
 C10,1,2,X,Y,,38,25-18-n,1
 C10,1,2,X,Y,,39,25-18-n,2
 C10,1,2,X,Y,,40,25-18-n,2
 C10,1,2,X,Y,,41,25-18-n,2
 C10,1,2,X,Y,,42,25-18-n,1
 C10,1,2,X,Y,,43,25-18-n,1
 C10,1,2,X,Y,,44,25-18-n,3
 C10,1,2,X,Y,,45,25-18-n,1
 C10,1,2,X,Y,,46,25-18-n,2
 C10,1,2,X,Y,,47,25-18-n,2
 C10,1,2,X,Y,,48,25-18-n,2
 C10,1,2,X,Y,,49,25-18-n,2
 C10,1,2,X,Y,,50,25-18-n,2
 C10,1,2,X,Y,,51,25-18-n,2
 C10,1,2,X,Y,,52,25-18-n,2
 C10,1,2,X,Y,,53,25-18-n,1
 C10,1,2,X,Y,,54,25-18-n,2
 C10,1,2,X,Y,,55,25-18-n,1
 C10,1,2,X,Y,,56,25-18-n,2
 C10,1,2,X,Y,,57,25-18-n,2
 C10,1,2,X,Y,,58,25-18-n,2
 C10,1,2,X,Y,,59,25-18-n,2
 C10,1,2,X,Y,,60,25-18-n,1
 C10,1,2,X,Y,,61,25-18-n,2
 C10,1,2,X,Y,,62,25-18-n,1
 C10,1,2,X,Y,,63,25-18-n,2
 C10,1,2,X,Y,,64,25-18-n,2
 C10,1,2,X,Y,,65,25-18-n,2
 C10,1,3,X,Y,,1,25-18-n,2
 C10,1,3,X,Y,,3,25-18-n,2
 C10,1,3,X,Y,,4,25-18-n,1
 C10,1,3,X,Y,,5,25-18-n,2
 C10,1,3,X,Y,,6,25-18-n,2
 C10,1,3,X,Y,,7,25-18-n,2
 C10,1,3,X,Y,,8,25-18-n,2
 C10,1,3,X,Y,,9,25-18-n,3
 C10,1,3,X,Y,,10,25-18-n,2
 C10,1,3,X,Y,,11,25-18-n,2
 C10,1,3,X,Y,,12,25-18-n,1
 C10,1,3,X,Y,,13,25-18-n,1
 C10,1,3,X,Y,,14,25-18-n,2
 C10,1,3,X,Y,,15,25-18-n,1
 C10,1,3,X,Y,,16,25-18-n,2
 C10,1,3,X,Y,,17,25-18-n,1
 C10,1,3,X,Y,,18,25-18-n,2
 C10,1,3,X,Y,,19,25-18-n,1
 C10,1,3,X,Y,,20,25-18-n,1
 C10,1,3,X,Y,,21,25-18-n,2
 C10,1,3,X,Y,,22,25-18-n,1
 C10,1,3,X,Y,,23,25-18-n,1
 C10,1,3,X,Y,,24,25-18-n,1
 C10,1,3,X,Y,,25,25-18-n,1
 C10,1,3,X,Y,,26,25-18-n,2
 C10,1,3,X,Y,,27,25-18-n,2
 C10,1,3,X,Y,,28,25-18-n,1
 C10,1,3,X,Y,,29,25-18-n,2
 C10,1,3,X,Y,,30,25-18-n,2
 C10,1,3,X,Y,,31,25-18-n,2
 C10,1,3,X,Y,,32,25-18-n,2
 C10,1,3,X,Y,,33,25-18-n,2
 C10,1,3,X,Y,,34,25-18-n,2
 C10,1,3,X,Y,,35,25-18-n,2
 C10,1,3,X,Y,,36,25-18-n,2
 C10,1,3,X,Y,,37,25-18-n,2
 C10,1,3,X,Y,,38,25-18-n,1
 C10,1,3,X,Y,,39,25-18-n,2
 C10,1,3,X,Y,,40,25-18-n,2
 C10,1,3,X,Y,,41,25-18-n,2
 C10,1,3,X,Y,,42,25-18-n,2
 C10,1,3,X,Y,,43,25-18-n,2
 C10,1,3,X,Y,,44,25-18-n,1
 C10,1,3,X,Y,,45,25-18-n,1
 C10,1,3,X,Y,,46,25-18-n,1
 C10,1,3,X,Y,,47,25-18-n,2
 C10,1,3,X,Y,,48,25-18-n,2
 C10,1,3,X,Y,,49,25-18-n,2
 C10,1,3,X,Y,,50,25-18-n,1
 C10,1,3,X,Y,,51,25-18-n,1
 C10,1,3,X,Y,,52,25-18-n,2
 C10,1,3,X,Y,,53,25-18-n,2
 C10,1,3,X,Y,,54,25-18-n,2
 C10,1,3,X,Y,,55,25-18-n,2
 C10,1,3,X,Y,,56,25-18-n,2
 C10,1,3,X,Y,,57,25-18-n,2
 C10,1,3,X,Y,,58,25-18-n,2
 C10,1,3,X,Y,,59,25-18-n,2
 C10,1,3,X,Y,,60,25-18-n,1
 C10,1,3,X,Y,,61,25-18-n,2
 C10,1,3,X,Y,,62,25-18-n,2
 C10,1,3,X,Y,,63,25-18-n,1
 C10,1,3,X,Y,,64,25-18-n,2
 C10,1,3,X,Y,,65,25-18-n,1
 C10,1,3,X,Y,,66,25-18-n,2
 C10,1,3,X,Y,,67,25-18-n,2
 C10,1,3,X,Y,,68,25-18-n,2
 C10,1,3,X,Y,,69,25-18-n,2
 C10,1,3,X,Y,,70,25-18-n,1
 C10,1,3,X,Y,,71,25-18-n,2
 C10,1,3,X,Y,,72,25-18-n,2
 C10,1,3,X,Y,,73,25-18-n,2
 C10,1,3,X,Y,,74,25-18-n,3
 C10,1,3,X,Y,,75,25-18-n,2
 C10,1,3,X,Y,,76,25-18-n,2
 C10,1,3,X,Y,,77,25-18-n,1
 C10,1,3,X,Y,,78,25-18-n,1
 C10,1,4,X,Y,,1,25-18-n,2
 C10,1,4,X,Y,,2,25-18-n,1
 C10,1,4,X,Y,,3,25-18-n,1
 C10,1,4,X,Y,,4,25-18-n,2
 C10,1,4,X,Y,,5,25-18-n,2
 C10,1,4,X,Y,,6,25-18-n,2
 C10,1,4,X,Y,,7,25-18-n,2
 C10,1,4,X,Y,,8,25-18-n,2
 C10,1,4,X,Y,,9,25-18-n,2
 C10,1,4,X,Y,,10,25-18-n,2
 C10,1,4,X,Y,,11,25-18-n,2
 C10,1,4,X,Y,,12,25-18-n,2
 C10,1,4,X,Y,,13,25-18-n,2
 C10,1,4,X,Y,,14,25-18-n,2
 C10,1,4,X,Y,,15,25-18-n,1
 C10,1,4,X,Y,,16,25-18-n,1
 C10,1,4,X,Y,,17,25-18-n,2
 C10,1,4,X,Y,,18,25-18-n,1
 C10,1,4,X,Y,,19,25-18-n,2
 C10,1,4,X,Y,,20,25-18-n,1
 C10,1,4,X,Y,,21,25-18-n,1
 C10,1,4,X,Y,,22,25-18-n,2
 C10,1,4,X,Y,,23,25-18-n,1
 C10,1,4,X,Y,,24,25-18-n,2
 C10,1,4,X,Y,,25,25-18-n,2
 C10,1,4,X,Y,,26,25-18-n,2
 C10,1,4,X,Y,,27,25-18-n,2
 C10,1,4,X,Y,,28,25-18-n,2
 C10,1,4,X,Y,,29,25-18-n,2
 C10,1,4,X,Y,,30,25-18-n,2
 C10,1,4,X,Y,,31,25-18-n,2
 C10,1,4,X,Y,,32,25-18-n,2
 C10,1,4,X,Y,,33,25-18-n,2
 C10,1,4,X,Y,,34,25-18-n,2
 C10,1,4,X,Y,,35,25-18-n,2
 C10,1,4,X,Y,,36,25-18-n,1
 C10,1,4,X,Y,,37,25-18-n,2
 C10,1,4,X,Y,,38,25-18-n,2
 C10,1,4,X,Y,,39,25-18-n,2
 C10,1,4,X,Y,,40,25-18-n,2
 C10,1,4,X,Y,,41,25-18-n,2
 C10,1,4,X,Y,,42,25-18-n,2
 C10,1,4,X,Y,,43,25-18-n,2
 C10,1,4,X,Y,,44,25-18-n,2
 C10,1,4,X,Y,,45,25-18-n,2
 C10,1,4,X,Y,,46,25-18-n,2
 C10,1,4,X,Y,,47,25-18-n,2
 C10,1,4,X,Y,,48,25-18-n,1
 C10,1,4,X,Y,,49,25-18-n,2
 C10,1,4,X,Y,,50,25-18-n,2
 C10,1,4,X,Y,,51,25-18-n,2
 C10,1,4,X,Y,,52,25-18-n,2
 C10,1,4,X,Y,,53,25-18-n,1
 C10,1,4,X,Y,,54,25-18-n,2
 C10,1,4,X,Y,,55,25-18-n,2
 C10,1,4,X,Y,,56,25-18-n,1
 C10,1,4,X,Y,,57,25-18-n,2
 C10,1,4,X,Y,,58,25-18-n,2
 C10,1,4,X,Y,,59,25-18-n,2
 C10,1,4,X,Y,,60,25-18-n,3
 C10,1,4,X,Y,,61,25-18-n,2
 C10,1,4,X,Y,,62,25-18-n,2
 C10,1,4,X,Y,,63,25-18-n,1
 C10,1,4,X,Y,,64,25-18-n,2
 C10,1,4,X,Y,,65,25-18-n,1
 C10,1,4,X,Y,,66,25-18-n,2
 C10,1,4,X,Y,,67,25-18-n,2
 C10,1,4,X,Y,,68,25-18-n,2
 C10,1,4,X,Y,,69,25-18-n,2
 C10,1,4,X,Y,,70,25-18-n,2
 C10,1,4,X,Y,,71,25-18-n,2
 C10,1,4,X,Y,,72,25-18-n,2
 C10,1,4,X,Y,,73,25-18-n,1
 C10,1,4,X,Y,,74,25-18-n,2
 C10,1,4,X,Y,,75,25-18-n,2
 C10,1,4,X,Y,,76,25-18-n,2
 C10,1,4,X,Y,,77,25-18-n,1
 C10,1,4,X,Y,,78,25-18-n,2
 C10,1,4,X,Y,,79,25-18-n,2
 C10,1,4,X,Y,,80,25-18-n,3
 C10,1,4,X,Y,,81,25-18-n,1
 C10,1,4,X,Y,,82,25-18-n,2
 C10,1,4,X,Y,,83,25-18-n,2
 C10,1,4,X,Y,,84,25-18-n,2
 C10,1,4,X,Y,,85,25-18-n,2
 C10,1,4,X,Y,,86,25-18-n,2
 C10,1,4,X,Y,,87,25-18-n,2
 C10,1,4,X,Y,,88,25-18-n,1
 C10,1,4,X,Y,,89,25-18-n,2
 C10,1,4,X,Y,,90,25-18-n,2
 C10,1,4,X,Y,,91,25-18-n,1
 C10,1,4,X,Y,,92,25-18-n,2
 C10,1,4,X,Y,,93,25-18-n,1
 C10,1,5,X,Y,,1,25-18-n,1
 C10,1,5,X,Y,,2,25-18-n,2
 C10,1,5,X,Y,,4,25-18-n,2
 C10,1,5,X,Y,,5,25-18-n,2
 C10,1,5,X,Y,,6,25-18-n,1
 C10,1,5,X,Y,,8,25-18-n,2
 C10,1,5,X,Y,,10,25-18-n,2
 C10,1,5,X,Y,,11,25-18-n,2
 C10,1,5,X,Y,,12,25-18-n,2
 C10,1,5,X,Y,,13,25-18-n,2
 C10,1,5,X,Y,,14,25-18-n,2
 C10,1,5,X,Y,,15,25-18-n,2
 C10,1,5,X,Y,,16,25-18-n,2
 C10,1,5,X,Y,,17,25-18-n,2
 C10,1,5,X,Y,,18,25-18-n,1
 C10,1,5,X,Y,,19,25-18-n,2
 C10,1,5,X,Y,,20,25-18-n,2
 C10,1,5,X,Y,,21,25-18-n,2
 C10,1,5,X,Y,,22,25-18-n,1
 C10,1,5,X,Y,,23,25-18-n,2
 C10,1,5,X,Y,,24,25-18-n,2
 C10,1,5,X,Y,,25,25-18-n,1
 C10,1,5,X,Y,,26,25-18-n,2
 C10,1,5,X,Y,,27,25-18-n,2
 C10,1,5,X,Y,,29,25-18-n,2
 C10,1,5,X,Y,,30,25-18-n,2
 C10,1,5,X,Y,,31,25-18-n,1
 C10,1,5,X,Y,,32,25-18-n,1
 C10,1,5,X,Y,,33,25-18-n,1
 C10,1,5,X,Y,,34,25-18-n,2
 C10,1,5,X,Y,,35,25-18-n,2
 C10,1,5,X,Y,,36,25-18-n,2
 C10,1,5,X,Y,,37,25-18-n,2
 C10,1,5,X,Y,,38,25-18-n,2
 C10,1,5,X,Y,,39,25-18-n,3
 C10,1,5,X,Y,,40,25-18-n,1
 C10,1,5,X,Y,,41,25-18-n,1
 C10,1,5,X,Y,,42,25-18-n,1
 C10,1,5,X,Y,,43,25-18-n,1
 C10,1,5,X,Y,,44,25-18-n,4
 C10,1,5,X,Y,,45,25-18-n,2
 C10,1,5,X,Y,,46,25-18-n,2
 C10,1,5,X,Y,,47,25-18-n,2
 C10,1,5,X,Y,,49,25-18-n,2
 C10,1,5,X,Y,,50,25-18-n,2
 C10,1,5,X,Y,,51,25-18-n,1
 C10,1,5,X,Y,,52,25-18-n,2
 C10,1,5,X,Y,,53,25-18-n,2
 C10,1,5,X,Y,,54,25-18-n,2
 C10,1,5,X,Y,,55,25-18-n,2
 C10,1,5,X,Y,,56,25-18-n,4
 C10,1,5,X,Y,,57,25-18-n,2
 C10,1,5,X,Y,,58,25-18-n,2
 C10,1,5,X,Y,,59,25-18-n,2
 C10,1,5,X,Y,,60,25-18-n,2
 C10,1,5,X,Y,,61,25-18-n,2
 C10,1,5,X,Y,,62,25-18-n,2
 C10,1,5,X,Y,,63,25-18-n,2
 C10,1,5,X,Y,,64,25-18-n,4
 C10,1,5,X,Y,,65,25-18-n,2
 C10,1,5,X,Y,,66,25-18-n,2
 C10,1,5,X,Y,,67,25-18-n,1
 C10,1,5,X,Y,,68,25-18-n,2
 C10,1,5,X,Y,,69,25-18-n,2
 C10,1,5,X,Y,,70,25-18-n,2
 C10,1,5,X,Y,,71,25-18-n,2
 C10,1,5,X,Y,,72,25-18-n,1
 C10,1,5,X,Y,,73,25-18-n,2
 C10,1,5,X,Y,,74,25-18-n,2
 C10,1,5,X,Y,,75,25-18-n,2
 C10,1,5,X,Y,,76,25-18-n,1
 C10,1,5,X,Y,,77,25-18-n,1
 C10,1,5,X,Y,,78,25-18-n,1
 C10,1,5,X,Y,,79,25-18-n,2
 C10,1,5,X,Y,,80,25-18-n,3
 C10,1,5,X,Y,,81,25-18-n,1
 C10,1,5,X,Y,,82,25-18-n,2
 C10,1,5,X,Y,,83,25-18-n,2
 C10,1,5,X,Y,,85,25-18-n,1
 C10,1,5,X,Y,,86,25-18-n,2
 C10,1,5,X,Y,,87,25-18-n,3
 C10,1,5,X,Y,,89,25-18-n,1
 C10,1,6,X,Y,,1,25-18-n,1
 C10,1,6,X,Y,,2,25-18-n,4
 C10,1,6,X,Y,,3,25-18-n,2
 C10,1,6,X,Y,,4,25-18-n,1
 C10,1,6,X,Y,,5,25-18-n,2
 C10,1,6,X,Y,,6,25-18-n,2
 C10,1,6,X,Y,,7,25-18-n,1
 C10,1,6,X,Y,,8,25-18-n,3
 C10,1,6,X,Y,,9,25-18-n,2
 C10,1,6,X,Y,,10,25-18-n,2
 C10,1,6,X,Y,,11,25-18-n,3
 C10,1,6,X,Y,,12,25-18-n,1
 C10,1,6,X,Y,,13,25-18-n,1
 C10,1,6,X,Y,,14,25-18-n,3
 C10,1,6,X,Y,,15,25-18-n,1
 C10,1,6,X,Y,,16,25-18-n,1
 C10,1,6,X,Y,,17,25-18-n,1
 C10,1,6,X,Y,,18,25-18-n,2
 C10,1,6,X,Y,,19,25-18-n,1
 C10,1,6,X,Y,,20,25-18-n,1
 C10,1,6,X,Y,,21,25-18-n,2
 C10,1,6,X,Y,,22,25-18-n,2
 C10,1,6,X,Y,,23,25-18-n,3
 C10,1,6,X,Y,,24,25-18-n,1
 C10,1,6,X,Y,,25,25-18-n,2
 C10,1,6,X,Y,,26,25-18-n,1
 C10,1,6,X,Y,,27,25-18-n,3
 C10,1,6,X,Y,,28,25-18-n,2
 C10,1,6,X,Y,,30,25-18-n,1
 C10,1,6,X,Y,,31,25-18-n,2
 C10,1,6,X,Y,,32,25-18-n,2
 C10,1,6,X,Y,,33,25-18-n,2
 C10,1,6,X,Y,,34,25-18-n,2
 C10,1,6,X,Y,,35,25-18-n,2
 C10,1,6,X,Y,,36,25-18-n,1
 C10,1,6,X,Y,,37,25-18-n,1
 C10,1,6,X,Y,,38,25-18-n,2
 C10,1,6,X,Y,,39,25-18-n,1
 C10,1,6,X,Y,,40,25-18-n,2
 C10,1,6,X,Y,,41,25-18-n,2
 C10,1,6,X,Y,,42,25-18-n,2
 C10,1,6,X,Y,,43,25-18-n,2
 C10,1,6,X,Y,,44,25-18-n,2
 C10,1,6,X,Y,,45,25-18-n,2
 C10,1,6,X,Y,,46,25-18-n,2
 C10,1,6,X,Y,,47,25-18-n,2
 C10,1,6,X,Y,,48,25-18-n,2
 C10,1,6,X,Y,,49,25-18-n,3
 C10,1,6,X,Y,,50,25-18-n,2
 C10,1,6,X,Y,,51,25-18-n,4
 C10,1,6,X,Y,,52,25-18-n,3
 C10,1,6,X,Y,,53,25-18-n,2
 C10,1,6,X,Y,,54,25-18-n,2
 C10,1,6,X,Y,,55,25-18-n,2
 C10,1,6,X,Y,,56,25-18-n,2
 C10,1,6,X,Y,,57,25-18-n,1
 C10,1,6,X,Y,,58,25-18-n,2
 C10,1,6,X,Y,,59,25-18-n,2
 C10,1,6,X,Y,,60,25-18-n,2
 C10,1,6,X,Y,,61,25-18-n,2
 D09,1,1,X,Y,,1,25-18-n,1
 D09,1,1,X,Y,,2,25-18-n,1
 D09,1,1,X,Y,,3,25-18-n,2
 D09,1,1,X,Y,,4,25-18-n,4
 D09,1,1,X,Y,,5,25-18-n,2
 D09,1,1,X,Y,,6,25-18-n,2
 D09,1,1,X,Y,,7,25-18-n,2
 D09,1,1,X,Y,,8,25-18-n,2
 D09,1,1,X,Y,,9,25-18-n,2
 D09,1,1,X,Y,,10,25-18-n,1
 D09,1,1,X,Y,,11,25-18-n,2
 D09,1,1,X,Y,,12,25-18-n,2
 D09,1,1,X,Y,,13,25-18-n,2
 D09,1,1,X,Y,,14,25-18-n,2
 D09,1,1,X,Y,,15,25-18-n,2
 D09,1,1,X,Y,,16,25-18-n,2
 D09,1,1,X,Y,,17,25-18-n,2
 D09,1,1,X,Y,,18,25-18-n,2
 D09,1,1,X,Y,,19,25-18-n,2
 D09,1,1,X,Y,,20,25-18-n,2
 D09,1,1,X,Y,,21,25-18-n,2
 D09,1,1,X,Y,,22,25-18-n,2
 D09,1,1,X,Y,,23,25-18-n,2
 D09,1,1,X,Y,,25,25-18-n,2
 D09,1,1,X,Y,,26,25-18-n,1
 D09,1,1,X,Y,,27,25-18-n,2
 D09,1,1,X,Y,,28,25-18-n,2
 D09,1,1,X,Y,,29,25-18-n,1
 D09,1,1,X,Y,,30,25-18-n,1
 D09,1,1,X,Y,,31,25-18-n,2
 D09,1,1,X,Y,,32,25-18-n,1
 D09,1,1,X,Y,,33,25-18-n,2
 D09,1,1,X,Y,,34,25-18-n,2
 D09,1,1,X,Y,,35,25-18-n,2
 D09,1,1,X,Y,,36,25-18-n,1
 D09,1,1,X,Y,,37,25-18-n,2
 D09,1,1,X,Y,,38,25-18-n,1
